publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2018p717627,,2018-09-23T12:31:40.751Z,2018-09-23T12:33:01.907Z,177.4536651,-38.88909835,1.520124994,41.09375,M,,NonLinLoc,,automatic,nz3drx,13,13,5,0.1360856894,77.31537709,0.5801643055,0
2018p717580,,2018-09-23T12:06:57.319Z,2018-09-23T13:19:32.553Z,176.0782062,-40.82071828,2.278222057,23.28125,M,,NonLinLoc,,automatic,nz3drx,35,35,19,0.1269088982,91.0878776,0.8759100785,0
2018p717565,,2018-09-23T11:58:53.079Z,2018-09-23T12:00:55.040Z,174.6435447,-41.48525782,2.1022267,16.71875,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.1877669009,175.2575659,0.3992796383,0
2018p717513,,2018-09-23T11:31:08.191Z,2018-09-23T11:33:02.017Z,176.9731917,-39.68591879,1.830484126,39.6875,M,,NonLinLoc,,automatic,nz3drx,19,19,9,0.08512461734,123.9747826,0.5055713366,0
2018p717451,,2018-09-23T10:58:19.222Z,2018-09-23T11:01:20.781Z,178.070132,-37.90523304,2.349999562,45.78125,M,,NonLinLoc,,automatic,nz3drx,39,39,17,0.04026963236,109.5693081,0.9661705284,0
2018p717412,,2018-09-23T10:37:12.710Z,2018-09-23T10:39:30.682Z,173.2039507,-41.62642713,2.305886344,7.34375,M,,NonLinLoc,,automatic,nz3drx,19,19,8,0.2623400055,110.5268571,1.094731043,0
2018p717326,,2018-09-23T09:51:51.486Z,2018-09-23T13:13:56.543Z,172.8013224,-42.06865453,2.437018258,71.09375,M,,NonLinLoc,,automatic,nz3drx,21,21,7,0.3138878723,57.07162871,0.6861603444,0
2018p717173,,2018-09-23T08:29:54.774Z,2018-09-23T08:32:20.064Z,177.8644079,-37.85388262,1.599156914,30.3125,M,,NonLinLoc,,automatic,nz3drx,15,15,7,0.1143230356,125.4265284,1.305465168,0
2018p717145,,2018-09-23T08:16:16.009Z,2018-09-23T13:10:12.846Z,176.0505901,-38.47443469,2.350095156,130.625,M,,NonLinLoc,,automatic,nz3drx,62,62,30,0.4514196586,88.60489565,1.360043835,0
2018p717143,,2018-09-23T08:14:18.081Z,2018-09-23T08:18:15.267Z,176.9001588,-39.69620901,2.171880552,30.078125,M,,NonLinLoc,,automatic,nz3drx,33,33,20,0.102267477,112.2069906,0.5921231387,0
2018p717106,,2018-09-23T07:54:04.337Z,2018-09-23T13:09:33.172Z,175.5148285,-40.36378197,3.0672075,72.03125,M,,NonLinLoc,,automatic,nz3drx,111,111,58,0.1942219055,54.91608291,1.054787373,0
2018p717072,earthquake,2018-09-23T07:36:24.960Z,2018-09-23T19:30:38.411Z,175.2271358,-39.14782862,0.7968350622,21.40625,M,,NonLinLoc,confirmed,manual,nz3drx,13,8,4,0.1682698174,293.6821959,0.3097811984,0
2018p717032,,2018-09-23T07:15:09.002Z,2018-09-23T07:41:28.072Z,177.1632865,-38.36951577,2.46120239,38.984375,M,,NonLinLoc,,automatic,nz3drx,49,49,31,0.1143615364,36.20605135,0.5296347213,0
2018p716939,,2018-09-23T06:25:29.578Z,2018-09-23T06:35:47.840Z,175.7225412,-38.74777874,2.307179527,144.6875,M,,NonLinLoc,,automatic,nz3drx,50,50,19,0.272642248,124.6969594,1.595436049,0
2018p716934,,2018-09-23T06:22:50.490Z,2018-09-23T06:26:30.473Z,173.6425759,-42.25007927,2.659405085,27.03125,M,,NonLinLoc,,automatic,nz3drx,30,30,11,0.1831853941,137.7066561,1.045277415,0
2018p716895,,2018-09-23T06:01:52.649Z,2018-09-23T06:03:49.881Z,175.0819058,-38.6714347,3.098558122,29.375,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.233548863,158.1362503,0.6348251529,0
2018p716791,earthquake,2018-09-23T05:06:46.371Z,2018-09-23T19:29:02.007Z,175.6739327,-39.45572181,0.9591282415,17.421875,M,,NonLinLoc,confirmed,manual,nz3drx,21,13,6,0.07831042811,241.0959204,0.2442572272,0
2018p716776,,2018-09-23T04:58:37.306Z,2018-09-23T05:01:23.803Z,176.3328966,-39.25819393,1.642717091,55.15625,M,,NonLinLoc,,automatic,nz3drx,18,18,6,0.155836415,106.5301789,0.4980605903,0
2018p716762,,2018-09-23T04:51:10.860Z,2018-09-23T04:53:18.836Z,173.9774417,-41.85605718,2.180752252,18.59375,M,,NonLinLoc,,automatic,nz3drx,21,21,9,0.1579068578,137.0794475,0.6485593882,0
2018p716760,,2018-09-23T04:50:14.462Z,2018-09-23T04:52:26.577Z,176.6173276,-39.86848336,1.550463202,13.4375,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.2143023203,103.1622554,0.579980274,0
2018p716713,,2018-09-23T04:25:10.496Z,2018-09-23T04:27:28.644Z,173.3923377,-42.56155627,2.228933522,19.0625,M,,NonLinLoc,,automatic,nz3drx,13,13,2,0.181778935,155.1237308,0.6865240731,0
2018p716685,earthquake,2018-09-23T04:10:17.305Z,2018-09-24T03:35:25.435Z,175.850296,-37.96155548,2.267546068,2,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,16,13,0.1364472359,95.99487305,0.3375632735,0
2018p716659,earthquake,2018-09-23T03:55:59.786Z,2018-09-23T04:34:11.632Z,175.2183702,-39.2609594,0.7646937612,26.09375,M,,NonLinLoc,confirmed,manual,nz3drx,15,9,6,0.1025204369,279.6586556,0.7807388697,0
2018p716633,earthquake,2018-09-23T03:42:48.318Z,2018-09-23T04:32:06.357Z,175.6008273,-39.33553957,0.6851038569,14.4921875,M,,NonLinLoc,confirmed,manual,nz3drx,23,12,6,0.007121842308,121.3407292,0.2559446292,0
2018p716622,,2018-09-23T03:36:14.032Z,2018-09-23T03:37:38.517Z,175.3496716,-39.91028124,1.87012845,24.6875,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.3162047124,135.5693747,0.3099979789,0
2018p716595,,2018-09-23T03:22:12.092Z,2018-09-23T03:24:39.209Z,173.6938992,-41.10017423,2.096797764,52.34375,M,,NonLinLoc,,automatic,nz3drx,19,19,7,0.2657048255,96.13364955,0.6620581711,0
2018p716570,,2018-09-23T03:09:46.243Z,2018-09-23T03:12:14.734Z,173.5318367,-41.15711673,3.228091234,64.0625,M,,NonLinLoc,,automatic,nz3drx,21,21,12,0.1307730021,198.2317542,1.325108658,0
2018p716569,,2018-09-23T03:09:00.453Z,2018-09-23T03:11:17.620Z,177.3894822,-38.16571719,2.958510869,77.1875,M,,NonLinLoc,,automatic,nz3drx,42,42,28,0.1975604923,115.0389426,1.642070664,0
2018p716443,earthquake,2018-09-23T02:00:52.596Z,2018-09-23T02:19:48.825Z,177.2148242,-37.56255184,2.280227658,5.1171875,M,,NonLinLoc,confirmed,manual,nz3drx,15,10,6,0.03913412524,142.6658433,0.3572235652,0
2018p716434,,2018-09-23T01:56:09.133Z,2018-09-23T02:30:58.025Z,177.2105996,-37.56117059,1.72349594,5.234375,M,,NonLinLoc,confirmed,manual,nz3drx,7,4,2,0.0364021259,164.6002812,0.3508907631,0
2018p716292,,2018-09-23T00:40:51.860Z,2018-09-23T03:43:28.337Z,172.7833063,-41.23510341,2.800673453,174.6875,M,,NonLinLoc,,automatic,nz3drx,48,48,19,0.164913296,151.0716376,1.496177688,0
2018p716260,earthquake,2018-09-23T00:23:37.215Z,2018-09-23T00:40:07.381Z,175.5155015,-39.29084396,1.293181052,12.734375,M,,NonLinLoc,confirmed,manual,nz3drx,10,5,1,0.05771716032,185.5489534,0.2800287669,0
2018p716232,,2018-09-23T00:08:42.934Z,2018-09-23T02:18:07.492Z,175.8851172,-40.2565057,2.357352051,33.125,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.436652936,169.6370662,1.35550704,0
2018p716221,earthquake,2018-09-23T00:02:55.118Z,2018-09-23T02:24:47.610Z,177.1670325,-37.5319033,2.58847934,5.1171875,M,,NonLinLoc,confirmed,manual,nz3drx,15,8,7,0.01664654825,172.0461668,0.5299064247,0
2018p716100,,2018-09-22T22:58:22.779Z,2018-09-22T23:09:45.402Z,174.2636622,-39.85083065,2.392910149,73.4375,M,,NonLinLoc,,automatic,nz3drx,15,15,5,0.4065877781,107.9331714,0.9363114337,0
2018p716027,earthquake,2018-09-22T22:19:50.404Z,2018-09-22T22:51:11.828Z,176.1897278,-38.03259277,3.431791115,154.1371765,M,,LOCSAT,confirmed,manual,iasp91,102,90,96,0.04481535032,53.70080566,0.4777443278,0
2018p715906,,2018-09-22T21:15:26.733Z,2018-09-22T21:39:33.669Z,175.294617,-39.77855325,1.855000051,61.25,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.652115253,154.6498612,1.134589224,0
2018p715885,earthquake,2018-09-22T21:03:53.199Z,2018-09-22T22:03:28.458Z,175.5959227,-39.32705378,1.064975408,14.9609375,M,,NonLinLoc,confirmed,manual,nz3drx,30,19,12,0.002267216564,102.5182891,0.2920021815,0
2018p715827,earthquake,2018-09-22T20:33:01.820Z,2018-09-22T22:46:38.626Z,174.9648895,-39.22891235,3.299794923,18.98039818,M,,LOCSAT,confirmed,manual,iasp91,68,57,86,0.191446811,50.17437744,0.4791172774,0
2018p715824,earthquake,2018-09-22T20:31:15.380Z,2018-09-22T22:42:31.724Z,175.0148468,-38.98054123,2.683315387,236.8805389,M,,LOCSAT,confirmed,manual,iasp91,48,35,43,0.5368298292,177.2941055,0.6900209218,0
2018p715654,,2018-09-22T19:00:45.029Z,2018-09-22T21:23:58.460Z,175.8757801,-39.14592354,1.642090537,105.3125,M,,NonLinLoc,,automatic,nz3drx,28,28,10,0.1357228579,98.01373243,1.363073595,0
2018p715616,,2018-09-22T18:40:08.712Z,2018-09-22T18:42:30.018Z,174.9812956,-40.68301857,2.674771486,130.625,M,,NonLinLoc,,automatic,nz3drx,12,12,5,0.7691647742,116.4235192,1.504612898,0
2018p715615,,2018-09-22T18:39:47.527Z,2018-09-22T18:41:37.858Z,176.8287202,-38.36171158,2.08047851,24.6875,M,,NonLinLoc,,automatic,nz3drx,13,13,4,0.2472093014,135.3183507,1.353139029,0
2018p715501,,2018-09-22T17:39:09.594Z,2018-09-22T17:40:20.763Z,178.0220374,-38.43842422,1.233691138,26.5625,M,,NonLinLoc,,automatic,nz3drx,11,11,2,0.1355526339,211.4140678,0.9739179196,0
2018p715473,,2018-09-22T17:24:22.546Z,2018-09-22T17:26:09.003Z,174.1985437,-41.78579103,1.304949962,17.65625,M,,NonLinLoc,,automatic,nz3drx,17,17,5,0.03708536423,151.2182478,0.4184298388,0
2018p715410,earthquake,2018-09-22T16:50:51.899Z,2018-09-22T22:37:51.528Z,172.7608185,-41.21800232,1.86694529,165.2636414,M,,LOCSAT,confirmed,manual,iasp91,22,14,1,0.1808819175,102.3865967,0.6015922421,0
2018p715365,,2018-09-22T16:26:33.257Z,2018-09-22T16:28:56.470Z,176.664378,-40.28903256,2.185869648,5.234375,M,,NonLinLoc,,automatic,nz3drx,30,30,16,0.03003753102,178.9079342,1.742588067,0
2018p715362,,2018-09-22T16:25:08.722Z,2018-09-22T16:26:59.907Z,173.392477,-41.33823996,1.906763037,59.84375,M,,NonLinLoc,,automatic,nz3drx,19,19,7,0.1198014416,73.37562137,0.5465444282,0
2018p715330,,2018-09-22T16:07:48.518Z,2018-09-22T16:10:12.330Z,176.0606414,-39.79835142,2.419664863,5.9375,M,,NonLinLoc,,automatic,nz3drx,15,15,8,0.2754155613,134.8060251,1.807283699,0
2018p715328,,2018-09-22T16:07:06.790Z,2018-09-22T16:09:31.738Z,177.8516103,-37.74020996,2.233137244,5.9375,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.0573041718,243.9166348,1.22845436,0
2018p715256,,2018-09-22T15:28:51.417Z,2018-09-22T15:51:47.799Z,176.4813724,-38.31100921,2.041048935,105.3125,M,,NonLinLoc,,automatic,nz3drx,27,27,13,0.03854365512,130.0365698,1.149026756,0
2018p715219,,2018-09-22T15:09:08.464Z,2018-09-22T15:31:56.207Z,177.285436,-37.56933235,2.280599685,69.6875,M,,NonLinLoc,,automatic,nz3drx,23,23,13,0.427692091,187.4457503,1.191576412,0
2018p715187,earthquake,2018-09-22T14:52:00.379Z,2018-09-22T19:50:21.804Z,175.7038009,-39.4799697,0.4799373365,16.015625,M,,NonLinLoc,confirmed,manual,nz3drx,10,5,4,0.08196207052,268.4135416,0.2503200534,0
2018p715183,earthquake,2018-09-22T14:49:47.816Z,2018-09-22T19:46:00.930Z,175.7692644,-39.33607444,0.5887064674,20.9375,M,,NonLinLoc,confirmed,manual,nz3drx,16,9,5,0.1097430795,284.2241957,0.3981690822,0
2018p715176,earthquake,2018-09-22T14:45:51.948Z,2018-09-22T22:25:42.019Z,167.4271088,-45.20781326,2.656844265,72.82566833,M,,LOCSAT,confirmed,manual,iasp91,19,13,2,0.5131787062,227.0861206,0.7190454847,0
2018p715173,,2018-09-22T14:44:39.956Z,2018-09-22T14:46:36.890Z,177.9048816,-37.79516924,0.7402897238,43.4375,M,,NonLinLoc,,automatic,nz3drx,10,10,1,0.1020657121,231.341909,0.715067747,0
2018p715105,,2018-09-22T14:08:16.963Z,2018-09-22T14:10:51.377Z,173.9952865,-40.44338326,2.533591699,71.5625,M,,NonLinLoc,,automatic,nz3drx,16,16,3,0.3649606463,109.3555301,1.04066219,0
2018p715099,,2018-09-22T14:05:11.202Z,2018-09-22T14:06:43.829Z,176.6935647,-39.99577015,1.359702611,36.40625,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.1325828107,85.5853126,0.5521922345,0
2018p714948,,2018-09-22T12:44:32.595Z,2018-09-22T14:14:25.898Z,176.582022,-38.89244477,1.908699219,45.78125,M,,NonLinLoc,,automatic,nz3drx,25,25,11,0.2071441049,73.46751009,0.4407133584,0
2018p714843,,2018-09-22T11:48:52.983Z,2018-09-22T11:51:15.244Z,174.8901387,-41.10475769,2.395292121,27.265625,M,,NonLinLoc,,automatic,nz3drx,40,40,19,0.1324536385,48.03366651,0.6542023484,0
2018p714834,,2018-09-22T11:43:51.146Z,2018-09-22T14:54:28.991Z,177.9677591,-37.68218369,2.195514644,39.21875,M,,NonLinLoc,,automatic,nz3drx,13,13,5,0.1671868301,182.9297833,0.5022811517,0
2018p714737,,2018-09-22T10:52:10.078Z,2018-09-22T11:30:44.758Z,176.7688354,-39.9680391,1.838757567,34.53125,M,,NonLinLoc,,automatic,nz3drx,17,17,7,0.09405639452,105.6715414,0.4710732091,0
2018p714711,earthquake,2018-09-22T10:38:16.451Z,2018-09-22T19:43:27.816Z,175.6970254,-39.43808265,0.9519946035,12.265625,M,,NonLinLoc,confirmed,manual,nz3drx,20,12,5,0.05311972023,230.3845513,0.2259693348,0
2018p714626,,2018-09-22T09:53:17.396Z,2018-09-22T11:24:41.113Z,175.0823929,-39.5686823,2.553252577,24.6875,M,,NonLinLoc,,automatic,nz3drx,14,14,6,0.3542095149,144.3037345,1.752875094,0
2018p714485,,2018-09-22T08:38:19.538Z,2018-09-22T14:21:49.919Z,177.9635005,-38.04851381,1.940033734,5.46875,M,,NonLinLoc,,automatic,nz3drx,15,15,7,0.1283068575,66.79461573,1.141353098,0
2018p714219,,2018-09-22T06:16:20.078Z,2018-09-22T06:45:03.565Z,176.6805395,-39.78539639,1.730508672,25.15625,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.1500846987,86.16458789,0.5753288099,0
2018p714207,outside of network interest,2018-09-22T06:09:40.515Z,2018-09-22T22:17:03.624Z,177.7189757,-37.53951192,2.796849108,78.125,M,,NonLinLoc,,automatic,nz3drx,25,25,12,0.4289861137,206.0905427,1.866556076,0
2018p714206,earthquake,2018-09-22T06:09:11.748Z,2018-09-24T05:15:13.438Z,174.6262054,-41.3432045,2.446630803,22.36123276,M,,LOCSAT,confirmed,manual,iasp91,36,23,12,0.1222010404,120.6139603,0.5919187671,0
2018p714191,earthquake,2018-09-22T06:01:03.180Z,2018-09-22T10:10:37.417Z,175.6131258,-39.33257876,1.008892605,14.0234375,M,,NonLinLoc,confirmed,manual,nz3drx,25,15,7,0.01221757165,118.72525,0.3066347371,0
