ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11432949,JB417799,09/01/2018 04:00:00 AM,072XX S WOLCOTT AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,0735,007,17,67,05,1164939,1856695,2018,09/08/2018 04:01:32 PM,41.762372555,-87.671037914,"(41.762372555, -87.671037914)"
11432696,JB417491,09/01/2018 04:12:00 AM,011XX W BERWYN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,false,false,2023,020,48,77,03,1167718,1935356,2018,09/08/2018 04:01:32 PM,41.978165506,-87.658586238,"(41.978165506, -87.658586238)"
11432676,JB417490,09/01/2018 04:24:00 AM,022XX N KARLOV AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,2525,025,31,20,03,1148685,1914474,2018,09/08/2018 04:01:32 PM,41.921253704,-87.729122007,"(41.921253704, -87.729122007)"
24155,JB417472,09/01/2018 04:30:00 AM,051XX W MAYPOLE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1532,015,28,25,01A,1142130,1900978,2018,09/08/2018 04:01:32 PM,41.884343351,-87.753542081,"(41.884343351, -87.753542081)"
24156,JB417492,09/01/2018 04:35:00 AM,007XX N CENTRAL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1524,015,37,25,01A,1138891,1904389,2018,09/08/2018 04:01:32 PM,41.893763001,-87.765353356,"(41.893763001, -87.765353356)"
11433402,JB418464,09/01/2018 04:39:00 AM,071XX N CLARK ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESTAURANT,false,false,2424,024,49,1,05,1163288,1947635,2018,09/08/2018 04:01:32 PM,42.011954037,-87.674530155,"(42.011954037, -87.674530155)"
11432775,JB417555,09/01/2018 06:30:00 AM,005XX W 103RD PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2232,022,34,49,05,1174505,1836256,2018,09/08/2018 04:01:32 PM,41.706077776,-87.636583682,"(41.706077776, -87.636583682)"
11437519,JB423781,09/01/2018 07:00:00 AM,033XX W CRYSTAL ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1422,014,26,23,05,1153875,1908122,2018,09/08/2018 04:01:32 PM,41.903721331,-87.710222141,"(41.903721331, -87.710222141)"
11436175,JB421731,09/01/2018 07:42:00 AM,083XX S CRANDON AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0412,004,8,46,05,1192959,1850283,2018,09/08/2018 04:01:32 PM,41.744139606,-87.568550852,"(41.744139606, -87.568550852)"
11437129,JB423283,09/01/2018 08:00:00 AM,032XX N RACINE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1924,019,44,6,05,1167712,1921804,2018,09/08/2018 04:01:32 PM,41.940978444,-87.659000494,"(41.940978444, -87.659000494)"
11432992,JB417978,09/01/2018 08:30:00 AM,011XX S ASHLAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1231,012,2,28,05,1165901,1895191,2018,09/08/2018 04:01:32 PM,41.867989472,-87.666417011,"(41.867989472, -87.666417011)"
11432785,JB417630,09/01/2018 08:55:00 AM,005XX W 120TH ST,0650,BURGLARY,HOME INVASION,APARTMENT,false,false,0524,005,34,53,05,1174688,1825317,2018,09/08/2018 04:01:32 PM,41.676055424,-87.636237721,"(41.676055424, -87.636237721)"
11433056,JB417915,09/01/2018 09:00:00 AM,008XX N WOOD ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1212,012,1,24,05,1164239,1905893,2018,09/08/2018 04:01:32 PM,41.897391903,-87.672215841,"(41.897391903, -87.672215841)"
11432781,JB417640,09/01/2018 09:20:00 AM,047XX S INDIANA AVE,0330,ROBBERY,AGGRAVATED,STREET,false,false,0224,002,3,38,03,1178396,1873742,2018,09/08/2018 04:01:32 PM,41.808856306,-87.621198838,"(41.808856306, -87.621198838)"
11433000,JB417697,09/01/2018 09:54:00 AM,045XX S DR MARTIN LUTHER KING JR DR,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,true,false,0221,002,3,38,05,1179617,1875114,2018,09/08/2018 04:01:32 PM,41.812593339,-87.616678539,"(41.812593339, -87.616678539)"
11433062,JB417701,09/01/2018 10:15:00 AM,033XX W DIVISION ST,0650,BURGLARY,HOME INVASION,RESIDENCE,false,false,1121,011,26,23,05,1153906,1907786,2018,09/08/2018 04:01:32 PM,41.902798698,-87.710117236,"(41.902798698, -87.710117236)"
11432918,JB417755,09/01/2018 10:40:00 AM,029XX N MILWAUKEE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,ALLEY,false,false,1412,014,35,21,03,1152251,1919234,2018,09/08/2018 04:01:32 PM,41.934245847,-87.715893636,"(41.934245847, -87.715893636)"
11433051,JB418016,09/01/2018 10:45:00 AM,047XX S TRIPP AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0815,008,23,57,05,1148824,1872901,2018,09/08/2018 04:01:32 PM,41.807169691,-87.729685334,"(41.807169691, -87.729685334)"
11435754,JB421204,09/01/2018 11:00:00 AM,050XX W WASHINGTON BLVD,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1533,015,28,25,05,1142670,1900031,2018,09/08/2018 04:01:32 PM,41.881734638,-87.751582682,"(41.881734638, -87.751582682)"
24157,JB417774,09/01/2018 11:49:00 AM,007XX S CAMPBELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1135,011,2,28,01A,1159838,1896861,2018,09/08/2018 04:01:32 PM,41.872699213,-87.688629374,"(41.872699213, -87.688629374)"
11433162,JB417842,09/01/2018 12:00:00 PM,017XX E 95TH ST,0330,ROBBERY,AGGRAVATED,SMALL RETAIL STORE,false,false,0431,004,7,51,03,1189459,1842326,2018,09/08/2018 04:01:32 PM,41.722389451,-87.581629631,"(41.722389451, -87.581629631)"
11433198,JB418245,09/01/2018 01:30:00 PM,021XX N SAYRE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2512,025,36,25,05,1129242,1913388,2018,09/08/2018 04:01:32 PM,41.918627276,-87.800586316,"(41.918627276, -87.800586316)"
11433112,JB417999,09/01/2018 01:30:00 PM,094XX S EWING AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0432,004,10,52,05,1201416,1843197,2018,09/08/2018 04:01:32 PM,41.72448469,-87.537804265,"(41.72448469, -87.537804265)"
11433092,JB417964,09/01/2018 01:30:00 PM,063XX S WASHTENAW AVE,0650,BURGLARY,HOME INVASION,APARTMENT,false,true,0825,008,15,66,05,1159469,1862400,2018,09/08/2018 04:01:32 PM,41.778141727,-87.690930179,"(41.778141727, -87.690930179)"
11433457,JB418123,09/01/2018 02:15:00 PM,0000X W HURON ST,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,false,false,1832,018,42,8,05,1175642,1905056,2018,09/08/2018 04:01:32 PM,41.894846375,-87.63035963,"(41.894846375, -87.63035963)"
11434961,JB420368,09/01/2018 03:00:00 PM,074XX N CAMPBELL AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,2411,024,50,2,05,1158375,1949452,2018,09/08/2018 04:01:32 PM,42.017042267,-87.692557285,"(42.017042267, -87.692557285)"
11433946,JB419148,09/01/2018 03:00:00 PM,033XX W WRIGHTWOOD AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1412,014,35,22,05,1153541,1917087,2018,09/08/2018 04:01:32 PM,41.928328717,-87.71121013,"(41.928328717, -87.71121013)"
11433580,JB418656,09/01/2018 03:00:00 PM,026XX S ST LOUIS AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1032,010,22,30,05,1153458,1886312,2018,09/08/2018 04:01:32 PM,41.843880654,-87.712333502,"(41.843880654, -87.712333502)"
11433220,JB418090,09/01/2018 03:00:00 PM,033XX S ARCHER AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0912,009,11,59,05,1164174,1882489,2018,09/08/2018 04:01:32 PM,41.833170591,-87.673115656,"(41.833170591, -87.673115656)"
11433187,JB418155,09/01/2018 03:37:00 PM,048XX W JACKSON BLVD,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1533,015,28,25,05,1144056,1898230,2018,09/08/2018 04:01:32 PM,41.87676658,-87.746538479,"(41.87676658, -87.746538479)"
11433806,JB418937,09/01/2018 04:30:00 PM,023XX W SUPERIOR ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1221,012,1,24,05,1160702,1904941,2018,09/08/2018 04:01:32 PM,41.894853594,-87.685233197,"(41.894853594, -87.685233197)"
11435210,JB418272,09/01/2018 05:20:00 PM,056XX W CORCORAN PL,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,true,1512,015,29,25,03,1138683,1901998,2018,09/12/2018 04:00:35 PM,41.887205571,-87.766175325,"(41.887205571, -87.766175325)"
11433275,JB418239,09/01/2018 05:25:00 PM,054XX N BROADWAY,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,DAY CARE CENTER,false,false,2023,020,48,77,05,1167330,1936266,2018,09/08/2018 04:01:32 PM,41.98067095,-87.659986798,"(41.98067095, -87.659986798)"
11434179,JB419480,09/01/2018 06:00:00 PM,041XX N KENNETH AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1722,017,38,16,05,1145808,1927086,2018,09/08/2018 04:01:32 PM,41.955917306,-87.739371831,"(41.955917306, -87.739371831)"
11433550,JB418633,09/01/2018 06:00:00 PM,045XX S LAPORTE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,0814,008,23,56,05,1144121,1874078,2018,09/08/2018 04:01:32 PM,41.810488912,-87.746905328,"(41.810488912, -87.746905328)"
11433340,JB418371,09/01/2018 06:15:00 PM,062XX N MAGNOLIA AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENTIAL YARD (FRONT/BACK),true,false,2433,024,48,77,05,1166821,1941530,2018,09/19/2018 04:22:01 PM,41.995126463,-87.661706899,"(41.995126463, -87.661706899)"
11433363,JB418363,09/01/2018 06:45:00 PM,063XX S FRANCISCO AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0823,008,15,66,03,1158138,1862437,2018,09/08/2018 04:01:32 PM,41.778270442,-87.695808709,"(41.778270442, -87.695808709)"
11433648,JB418769,09/01/2018 07:00:00 PM,008XX S LEAVITT ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,1225,012,25,28,05,1161849,1896308,2018,09/08/2018 04:01:32 PM,41.871140045,-87.681261497,"(41.871140045, -87.681261497)"
11433368,JB418375,09/01/2018 07:20:00 PM,008XX W NEWPORT AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1924,019,44,6,05,1170138,1923114,2018,09/08/2018 04:01:32 PM,41.944520423,-87.650045718,"(41.944520423, -87.650045718)"
11433426,JB418387,09/01/2018 07:45:00 PM,081XX S HALSTED ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,GAS STATION,false,false,0613,006,21,71,03,1172389,1850791,2018,09/08/2018 04:01:32 PM,41.746010581,-87.643906039,"(41.746010581, -87.643906039)"
11433823,JB418978,09/01/2018 08:00:00 PM,092XX S STATE ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0634,006,6,49,05,1177916,1843786,2018,09/08/2018 04:01:32 PM,41.72666469,-87.623865652,"(41.72666469, -87.623865652)"
11433816,JB418926,09/01/2018 08:00:00 PM,052XX N MILWAUKEE AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,1623,016,45,11,05,1137969,1934340,2018,09/08/2018 04:01:32 PM,41.975968415,-87.768014257,"(41.975968415, -87.768014257)"
11433496,JB418544,09/01/2018 08:00:00 PM,036XX W GRENSHAW ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1133,011,24,29,05,1152278,1894797,2018,09/08/2018 04:01:32 PM,41.86718783,-87.71644019,"(41.86718783, -87.71644019)"
11435279,JB420795,09/01/2018 08:10:00 PM,047XX S KEELER AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0815,008,23,57,05,1149158,1872895,2018,09/08/2018 04:01:32 PM,41.807146782,-87.728460462,"(41.807146782, -87.728460462)"
11433360,JB418427,09/01/2018 08:50:00 PM,061XX S MORGAN ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0712,007,16,68,05,1170696,1864158,2018,09/08/2018 04:01:32 PM,41.782728365,-87.649720276,"(41.782728365, -87.649720276)"
11433452,JB418501,09/01/2018 09:00:00 PM,050XX W SUPERIOR ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,1531,015,28,25,03,1142544,1904501,2018,09/08/2018 04:01:32 PM,41.8940032,-87.751934147,"(41.8940032, -87.751934147)"
11433546,JB418462,09/01/2018 09:07:00 PM,036XX W MONTROSE AVE,031A,ROBBERY,ARMED: HANDGUN,GROCERY FOOD STORE,false,false,1723,017,33,16,03,1151514,1929003,2018,09/08/2018 04:01:32 PM,41.96106725,-87.718344521,"(41.96106725, -87.718344521)"
11433475,JB418533,09/01/2018 09:30:00 PM,015XX W ROOSEVELT RD,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,ALLEY,false,true,1233,012,2,28,03,1166240,1894783,2018,09/08/2018 04:01:32 PM,41.866862652,-87.665184141,"(41.866862652, -87.665184141)"
11433626,JB418525,09/01/2018 09:53:00 PM,050XX S TRIPP AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,0815,008,23,57,03,1148883,1870797,2018,09/08/2018 04:01:32 PM,41.801394863,-87.729523149,"(41.801394863, -87.729523149)"
11433982,JB419209,09/01/2018 10:00:00 PM,068XX S TRIPP AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0833,008,13,65,05,1149217,1858865,2018,09/08/2018 04:01:32 PM,41.768645123,-87.728605998,"(41.768645123, -87.728605998)"
11433592,JB418653,09/01/2018 10:00:00 PM,048XX S KEDVALE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,0815,008,23,57,05,1149511,1872237,2018,09/08/2018 04:01:32 PM,41.805334308,-87.727182769,"(41.805334308, -87.727182769)"
11433482,JB418548,09/01/2018 10:15:00 PM,018XX S ALLPORT ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,1233,012,25,31,03,1168330,1891140,2018,09/08/2018 04:01:32 PM,41.856821062,-87.657616789,"(41.856821062, -87.657616789)"
11433490,JB418546,09/01/2018 10:27:00 PM,043XX N BROADWAY,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1915,019,46,3,03,1168770,1929254,2018,09/08/2018 04:01:32 PM,41.961398631,-87.65489522,"(41.961398631, -87.65489522)"
11433531,JB418588,09/01/2018 11:00:00 PM,031XX W 63RD ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,true,0823,008,15,66,03,1156719,1862694,2018,09/08/2018 04:01:32 PM,41.779004438,-87.701003946,"(41.779004438, -87.701003946)"
11434486,JB419896,09/02/2018 12:35:00 AM,021XX W EASTWOOD AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1911,019,47,4,05,1161506,1930865,2018,09/09/2018 03:57:45 PM,41.965974005,-87.68155654,"(41.965974005, -87.68155654)"
11449918,JB434683,09/02/2018 12:45:00 AM,069XX S LAFAYETTE AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,0731,007,6,69,03,1177024,1859232,2018,09/21/2018 04:06:58 PM,41.769070498,-87.626668445,"(41.769070498, -87.626668445)"
11434259,JB419587,09/02/2018 01:30:00 AM,0000X W HUBBARD ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1831,018,42,8,03,1175699,1903302,2018,09/09/2018 03:57:45 PM,41.890032024,-87.630203077,"(41.890032024, -87.630203077)"
11433665,JB418712,09/02/2018 01:50:00 AM,019XX W MAYPOLE AVE,0650,BURGLARY,HOME INVASION,CHA APARTMENT,false,false,1223,012,27,28,05,1163381,1901040,2018,09/09/2018 03:57:45 PM,41.884092985,-87.675503811,"(41.884092985, -87.675503811)"
11433658,JB418751,09/02/2018 02:49:00 AM,060XX S ST LAWRENCE AVE,0650,BURGLARY,HOME INVASION,APARTMENT,false,true,0313,003,20,42,05,1181273,1865085,2018,09/09/2018 03:57:45 PM,41.785034842,-87.610913544,"(41.785034842, -87.610913544)"
11433657,JB418737,09/02/2018 02:53:00 AM,112XX S HALSTED ST,0610,BURGLARY,FORCIBLE ENTRY,OTHER,false,false,2233,022,34,49,05,1172989,1830408,2018,09/09/2018 03:57:45 PM,41.690063495,-87.642306987,"(41.690063495, -87.642306987)"
11433669,JB418777,09/02/2018 03:18:00 AM,005XX S PULASKI RD,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1132,011,24,26,03,1149812,1897228,2018,09/09/2018 03:57:45 PM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
11433849,JB418959,09/02/2018 03:30:00 AM,006XX E GRAND AVE,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,1834,018,42,8,03,1180796,1904058,2018,09/09/2018 03:57:45 PM,41.891990384,-87.611461502,"(41.891990384, -87.611461502)"
11435940,JB421226,09/02/2018 05:17:00 AM,011XX S CALIFORNIA AVE,0610,BURGLARY,FORCIBLE ENTRY,DAY CARE CENTER,false,false,1135,011,28,29,05,1157864,1894933,2018,09/09/2018 03:57:45 PM,41.867449044,-87.695929408,"(41.867449044, -87.695929408)"
11438979,JB425652,09/02/2018 05:40:00 AM,036XX W DOUGLAS BLVD,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1011,010,24,29,03,1152167,1893044,2018,09/09/2018 03:57:45 PM,41.862379586,-87.7168939,"(41.862379586, -87.7168939)"
11436430,JB422437,09/02/2018 05:45:00 AM,004XX S KOSTNER AVE,031A,ROBBERY,ARMED: HANDGUN,GAS STATION,false,false,1131,011,24,26,03,1147129,1897553,2018,09/09/2018 03:57:45 PM,41.874850606,-87.735272577,"(41.874850606, -87.735272577)"
11433911,JB418822,09/02/2018 05:50:00 AM,001XX S CICERO AVE,0330,ROBBERY,AGGRAVATED,GAS STATION,false,false,1113,011,28,25,03,1144415,1898849,2018,09/09/2018 03:57:45 PM,41.878458449,-87.745204753,"(41.878458449, -87.745204753)"
11434085,JB418938,09/02/2018 06:00:00 AM,018XX W ARGYLE ST,0610,BURGLARY,FORCIBLE ENTRY,PARKING LOT/GARAGE(NON.RESID.),false,false,2032,020,47,4,05,1163208,1933242,2018,09/09/2018 03:57:45 PM,41.972460894,-87.675231487,"(41.972460894, -87.675231487)"
11433832,JB418835,09/02/2018 06:30:00 AM,026XX N ORCHARD ST,0320,ROBBERY,STRONGARM - NO WEAPON,ALLEY,false,false,1935,019,43,7,03,1171134,1918234,2018,09/09/2018 03:57:45 PM,41.93110766,-87.646528573,"(41.93110766, -87.646528573)"
11433773,JB418863,09/02/2018 06:30:00 AM,003XX S STATE ST,031A,ROBBERY,ARMED: HANDGUN,CTA TRAIN,false,false,0113,001,2,32,03,1176426,1898874,2018,09/09/2018 03:57:45 PM,41.877864969,-87.627666954,"(41.877864969, -87.627666954)"
11433783,JB418838,09/02/2018 06:40:00 AM,006XX W ARLINGTON PL,0330,ROBBERY,AGGRAVATED,HOTEL/MOTEL,false,false,1935,019,43,7,03,1171622,1916637,2018,09/09/2018 03:57:45 PM,41.926714681,-87.644782411,"(41.926714681, -87.644782411)"
11433785,JB418834,09/02/2018 06:54:00 AM,009XX W GEORGE ST,0330,ROBBERY,AGGRAVATED,STREET,false,false,1933,019,44,6,03,1169506,1919450,2018,09/09/2018 03:57:45 PM,41.93448005,-87.65247563,"(41.93448005, -87.65247563)"
11433759,JB418880,09/02/2018 07:15:00 AM,0000X N HOMAN BLVD,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,GAS STATION,false,false,1123,011,28,27,03,1153708,1900256,2018,09/09/2018 03:57:45 PM,41.882139587,-87.71104513,"(41.882139587, -87.71104513)"
11436902,JB423084,09/02/2018 07:30:00 AM,025XX W GRENSHAW ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1135,011,28,28,05,1159713,1894961,2018,09/09/2018 03:57:45 PM,41.867488004,-87.689140657,"(41.867488004, -87.689140657)"
11433873,JB418868,09/02/2018 07:30:00 AM,053XX N KENMORE AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,2023,020,48,77,03,1168289,1935574,2018,09/09/2018 03:57:45 PM,41.978751343,-87.656480057,"(41.978751343, -87.656480057)"
11433770,JB418862,09/02/2018 07:30:00 AM,014XX N DEARBORN ST,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET,false,false,1824,018,42,8,03,1175664,1910065,2018,09/09/2018 03:57:45 PM,41.908590818,-87.630128032,"(41.908590818, -87.630128032)"
11434287,JB419599,09/02/2018 08:10:00 AM,019XX S PULASKI RD,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,GAS STATION,false,false,1012,010,24,29,03,1150020,1890290,2018,09/09/2018 03:57:45 PM,41.854864309,-87.724846958,"(41.854864309, -87.724846958)"
11433870,JB419032,09/02/2018 08:30:00 AM,023XX W GRENSHAW ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1225,012,25,28,05,1160772,1894985,2018,09/09/2018 03:57:45 PM,41.867531989,-87.685252232,"(41.867531989, -87.685252232)"
11435862,JB421532,09/02/2018 09:00:00 AM,016XX N MERRIMAC AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,2513,025,29,25,05,1134394,1910170,2018,09/09/2018 03:57:45 PM,41.909707307,-87.781733092,"(41.909707307, -87.781733092)"
11434104,JB419326,09/02/2018 09:00:00 AM,020XX W IRVING PARK RD,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1911,019,47,5,05,1161839,1926552,2018,09/09/2018 03:57:45 PM,41.954131965,-87.680452988,"(41.954131965, -87.680452988)"
11433851,JB418941,09/02/2018 09:10:00 AM,046XX S CALUMET AVE,031A,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,false,false,0215,002,3,38,03,1179211,1874428,2018,09/09/2018 03:57:45 PM,41.810720178,-87.618188676,"(41.810720178, -87.618188676)"
11433794,JB418913,09/02/2018 09:10:00 AM,040XX N KENMORE AVE,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,false,false,1915,019,46,3,03,1168444,1927034,2018,09/09/2018 03:57:45 PM,41.955313947,-87.656158266,"(41.955313947, -87.656158266)"
11446742,JB419685,09/02/2018 11:00:00 AM,0000X W RANDOLPH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0111,001,42,32,05,1176102,1901284,2018,09/19/2018 04:22:01 PM,41.884485451,-87.628783943,"(41.884485451, -87.628783943)"
11435537,JB421029,09/02/2018 11:00:00 AM,067XX S CORNELL AVE,0320,ROBBERY,STRONGARM - NO WEAPON,OTHER,false,false,0332,003,5,43,03,1188360,1860719,2018,09/09/2018 03:57:45 PM,41.772887854,-87.58506919,"(41.772887854, -87.58506919)"
11435422,JB419076,09/02/2018 11:18:00 AM,006XX E MARQUETTE RD,031A,ROBBERY,ARMED: HANDGUN,APARTMENT,false,false,0321,003,20,42,03,1181512,1861388,2018,09/12/2018 04:00:35 PM,41.77488441,-87.610151271,"(41.77488441, -87.610151271)"
11433916,JB419085,09/02/2018 11:30:00 AM,049XX W FULTON ST,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,1532,015,28,25,03,1143223,1901475,2018,09/09/2018 03:57:45 PM,41.885686845,-87.749515983,"(41.885686845, -87.749515983)"
