date,tesla,facebook
2018/05/07,302.769989,177.970001
2018/05/08,301.970001,178.919998
2018/05/09,306.850006,182.660004
2018/05/10,305.019989,185.529999
2018/05/11,301.059998,186.990005
2018/05/14,291.970001,186.639999
2018/05/15,284.179993,184.320007
2018/05/16,286.480011,183.199997
2018/05/17,284.540009,183.759995
2018/05/18,276.820007,182.679993
2018/05/21,284.489990,184.490005
2018/05/22,275.010010,183.800003
2018/05/23,279.070007,186.899994
2018/05/24,277.850006,185.929993
2018/05/25,278.850006,184.919998
2018/05/29,283.760010,185.740005
2018/05/30,291.720001,187.669998
2018/05/31,284.730011,191.779999
2018/06/01,291.820007,193.990005
2018/06/04,296.739990,193.279999
2018/06/05,291.130005,192.940002
2018/06/06,319.500000,191.339996
2018/06/07,316.089996,188.179993
2018/06/08,317.660004,189.100006
2018/06/11,332.100006,191.539993
2018/06/12,342.769989,192.399994
2018/06/13,344.779999,192.410004
2018/06/14,357.720001,196.809998
2018/06/15,358.170013,195.850006
2018/06/18,370.829987,198.309998
2018/06/19,352.549988,197.490005
2018/06/20,362.220001,202.000000
2018/06/21,347.510010,201.500000
2018/06/22,333.630005,201.740005
2018/06/25,333.010010,196.350006
2018/06/26,342.000000,199.000000
2018/06/27,344.500000,195.839996
2018/06/28,349.929993,196.229996
2018/06/29,342.950012,194.320007
2018/07/02,335.070007,197.360001
2018/07/03,310.859985,192.729996
2018/07/05,309.160004,198.449997
2018/07/06,308.899994,203.229996
2018/07/09,318.510010,204.740005
2018/07/10,322.470001,203.539993
2018/07/11,318.959991,202.539993
2018/07/12,316.709991,206.919998
2018/07/13,318.869995,207.320007
2018/07/16,310.100006,207.229996
2018/07/17,322.690002,209.990005
2018/07/18,323.850006,209.360001
2018/07/19,320.230011,208.089996
2018/07/20,313.579987,209.940002
2018/07/23,303.200012,210.910004
2018/07/24,297.429993,214.669998
2018/07/25,308.739990,217.500000
2018/07/26,306.649994,176.259995
2018/07/27,297.179993,174.889999
2018/07/30,290.170013,171.059998
2018/07/31,298.140015,172.580002
2018/08/01,300.839996,171.649994
2018/08/02,349.540009,176.369995
2018/08/03,348.170013,177.779999
2018/08/06,341.989990,185.690002
2018/08/07,379.570007,183.809998
2018/08/08,370.339996,185.179993
2018/08/09,352.450012,183.089996
2018/08/10,355.489990,180.259995
2018/08/13,356.410004,180.050003
2018/08/14,347.640015,181.110001
2018/08/15,338.690002,179.529999
2018/08/16,335.450012,174.699997
2018/08/17,305.500000,173.800003
2018/08/20,308.440002,172.500000
2018/08/21,321.899994,172.619995
2018/08/22,321.640015,173.639999
2018/08/23,320.100006,172.899994
2018/08/24,322.820007,174.649994
2018/08/27,319.269989,177.460007
2018/08/28,311.859985,176.259995
2018/08/29,305.010010,175.899994
2018/08/30,303.149994,177.639999
2018/08/31,301.660004,175.729996
2018/09/04,288.950012,171.160004
2018/09/05,280.739990,167.179993
2018/09/06,280.950012,162.529999
2018/09/07,263.239990,163.039993
2018/09/10,285.500000,164.179993
2018/09/11,279.440002,165.940002
2018/09/12,290.540009,162.000000
2018/09/13,289.459991,161.360001
2018/09/14,295.200012,162.320007
2018/09/17,294.839996,160.580002
2018/09/18,284.959991,160.300003
2018/09/19,299.019989,163.059998
2018/09/20,301.279999,165.919998
